objectid,filename,youtubeid,vimeoid,title,alt. title,series,creator,date,date is approximate,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,equatorial guinea_exploration of venus.jpg,,,Exploration of Venus,Exploracion de venus,,Equatorial Guinea ,,,A fictional depiction of man's first landing on venus,venus;spacecraft;space-exploration,,3.752064,8.7737,Personal Collection,,,image/jpg,spa,,
coll002,equatorial guinea_rocket aircraft.jpg,,,Rocket Aircraft,Aoronave Cohete,,Equatorial Guinea,,,An imaginative depiction of what a spacecraft used for travel might look like,spacecraft;satelite,,3.752064,8.7737,Personal Collection,,,image/jpg,spa,,
coll003,equatorial guinea_russian lunar base.jpg,,,Russian Lunar Base,Base lunar rusa de radio-guia,,Equatorial Guinea,,,,,,3.752064,8.7737,Personal Collection,,,image/jpg,spa,,
coll004,equitorial guinea_russian satelite.jpg,,,Russian Satelite,Satelite ruso,,Equatorial Guinea,,,,,,3.752064,8.7737,Personal Collection,,,image/jpg,spa,,
coll005,fujeira_apollo 7.jpg,,,Apollo 7 (Fujeira),,,Fujeira,1972,,,,,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll006,fujeira_apollo 10.jpg,,,Apollo 10 (Fujeira),,,Fujeira,1972,,,,,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll007,fujeira_apollo 16.jpg,,,Apollo 16 (Fujeira),,,Fujeira,1972,,,,,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll008,fujeira_apollo 17.jpg,,,Apollo 17 (Fujeira),,,Fujeira,1972,,,,,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll09,fujeira_apollo 14.jpg,,,Apollo 14 (Fujeira),,,Fujeira,,,,,,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll010,hungary_lunohod-1.jpg,,,Lunohod 1,,,Hungary,1975,,,,,47.4925,19.051389,Personal Collection,,,image/jpg,hun,,
coll011,manama_soyuz 11(1).jpg,,,Patsayev 1972 Ajman stamp,,,Ajman;Manama,1972,,Stamp commemorating Soyuz 11 crew member Viktor Patsayev,Soyuz 11;Viktor Patsayev,,26.225,50.5775,Personal Collection,,,image/jpg,eng;ara,,
coll012,manama_soyuz 11(2).jpg,,,Volkov 1972 Ajman stamp,,,Ajman;Manama,1972,,Stamp commemorating Soyuz 11 crew member Vladislav Volkov,Soyuz 11;Vladislav Volkov,,26.225,50.5775,Personal Collection,,,image/jpg,eng;ara,,
coll013,manama_soyuz 11(3).jpg,,,Dobrovolsky 1972 Ajman stamp,,,Ajman;Manama,1972,,Stamp commemorating Soyuz 11 crew member Georgy Dobrovolsky,Soyuz 11;Georgy Dobrovolsky,,26.225,50.5775,Personal Collection,,,image/jpg,eng;ara,,
coll014,cameroon_space telecommunications.jpg,,,,,,Cameroon,,,,,,,,Personal Collection,,,image/jpg,,,
coll015,czechoslovakia_france satelite.jpg,,,,,,Czechoslovakia,,,,,,,,Personal Collection,,,image/jpg,,,
coll016,Czechoslovakia_soyuz 28.jpg,,,Soyuz 28 Czechoslovakia stamp,,,Czechoslovakia,,,,,,,,Personal Collection,,,image/jpg,,,
coll017,equatorial guinea_satelite.jpg,,,Satelite,,,Equatorial Guinea,,,,,,,,Personal Collection,,,image/jpg,,,
coll018,nicaragua_uit congress.jpg,,,,,,Nicaragua,,,,,,,,Personal Collection,,,image/jpg,,,
coll019,poland_soyuz-apollo.jpg,,,Soyuz Apollo Polish stamp,,,Poland,,,,,,,,Personal Collection,,,image/jpg,,,
coll020,rwanda_apollo-soyuz.jpg,,,Apollo Soyuz Rwanda stamp,,,Rwanda,,,,,,,,Personal Collection,,,image/jpg,,,
coll021,sharjah_apollo 11(1).jpg,,,Apollo 11 Sharjah stamp 1,,,Sharjah,,,,,,,,Personal Collection,,,image/jpg,,,
coll022,sharjah_apollo 11(2).jpg,,,Apollo 11 Sharjah stamp 2,,,Sharjah,,,,,,,,Personal Collection,,,image/jpg,,,
coll023,sharjah_apollo 17(1).jpg,,,Apollo 17 Sharjah stamp 1,,,Sharjah,,,,,,,,Personal Collection,,,image/jpg,,,
coll024,sharjah_apollo 17(2).jpg,,,Apollo 17 Sharjah stamp 2,,,Sharjah,,,,,,,,Personal Collection,,,image/jpg,,,
coll025,sharjah_planets exploration.jpg,,,,,,Sharjah,,,,,,,,Personal Collection,,,image/jpg,,,
