objectid,filename,youtubeid,vimeoid,title,series,creator,date,date is approximate,size,price,description,subject,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,equatorial guinea_exploration of venus.jpg,,,Exploration of Venus=Exploracion de venus,Conquest of Venus,Equatorial Guinea ,1973,Yes,45.5 x 60 mm,25 Equatorial Guinean peseta,A fictional depiction of man's first landing on venus,venus;spacecraft;space-exploration,3.752064,8.7737,Personal Collection,,,image/jpg,spa,,
coll002,equatorial guinea_rocket aircraft.jpg,,,Rocket Aircraft=Aoronave Cohete,Conquest of Venus,Equatorial Guinea,1973,Yes,45.5 x 60 mm,1 Equatorial Guinean peseta,An imaginative depiction of what a spacecraft used for travel might look like,spacecraft;satelite,3.752064,8.7737,Personal Collection,,,image/jpg,spa,,
coll003,equatorial guinea_russian lunar base.jpg,,,Russian Lunar Base=Base lunar rusa,Conquest of Venus,Equatorial Guinea,1973,Yes,45.5 x 60 mm,10 Equatorial Guinean peseta,A fictional depiction of a russian base on Venus' moon,venus;space base;satelite,3.752064,8.7737,Personal Collection,,,image/jpg,spa,,
coll004,equitorial guinea_russian satelite.jpg,,,Russian Satelite=Satelite ruso,Conquest of Venus,Equatorial Guinea,1973,Yes,45.5 x 60 mm,8 Equatorial Guinean peseta,A fictional depiction of a Russian satelite orbiting venus ,satelite;venus,3.752064,8.7737,Personal Collection,,,image/jpg,spa,,
coll005,fujeira_apollo 7.jpg,,,Apollo 7 (Fujeira),Apollo Programs,Fujeira,1972,Yes,60 x 40 mm,20 United Arab Emirates dirham,Stamp commemorating Apollo 7 mission,Apollo 7;astronaught;spacecraft,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll006,fujeira_apollo 10.jpg,,,Apollo 10 (Fujeira),Apollo Programs,Fujeira,1972,Yes,60 x 40 mm,40 United Arab Emirates dirham,Stamp commemorating Apollo  mission10,Apollo 10;astronaught;spacecraft,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll007,fujeira_apollo 16.jpg,,,Apollo 16 (Fujeira),Apollo Programs,Fujeira,1972,Yes,60 x 40 mm,15 United Arab Emirates dirham,Stamp commemorating Apollo 16 mission,Apollo 16;astronaught;spacecraft;vehicle,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll008,fujeira_apollo 17.jpg,,,Apollo 17 (Fujeira),Apollo Programs,Fujeira,1972,Yes,60 x 40 mm,4 United Arab Emirates riyal,Stamp commemorating Apollo 17 mission,Apollo 17;astronaught;spacecraft,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll09,fujeira_apollo 14.jpg,,,"Apollo 14 - Shepard, Roosa, Mitchell",Apollo 14,Fujeira,1971,Yes,81 x 41 mm,2 United Arab Emirates riyal,Stamp commemorating Apollo 14 mission,Apollo 14;astronaught;spacecraft,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll010,hungary_lunohod-1.jpg,,,Lunohod 1,"""Apollo-Soyuz"" Space Link",Hungary,1975,,34 x 53 mm,80 fi - Hungarian fillér,Lunokhod 1 on Moon,Lunokhod 1;moon;moon landing;vehicle,47.4925,19.051389,Personal Collection,,,image/jpg,hun,,
